accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
AY063293,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Coronympha,Coronympha,Coronympha valentinia,Coronympha valentinia,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,46566,Incisitermes snyderi,USA: Florida: Lake Placid,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)",Metacoronympha senta,NA,NA,Incisitermes snyderi,NA,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)"
FN377801,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Cryptotermes havilandi parabasalian symbiont clone ChGh03,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641612,Cryptotermes havilandi,Ghana,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press,Cryptotermes havilandi parabasalian symbiont clone ChGh03,NA,NA,Cryptotermes havilandi,NA,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press
FN377802,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Cryptotermes havilandi parabasalian symbiont clone ChGh09,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641612,Cryptotermes havilandi,Ghana,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press,Cryptotermes havilandi parabasalian symbiont clone ChGh09,NA,NA,Cryptotermes havilandi,NA,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press
FN377803,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Neotermes castaneus parabasalian symbiont clone NcGh07,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,223394,Neotermes castaneus,Cuba,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press,Neotermes castaneus parabasalian symbiont clone NcGh07,NA,NA,Neotermes castaneus,NA,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press
AB032224,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Neotermes koshunensis parabasalian symbiont clone Nk5,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60586,Neotermes koshunensis,Japan: Okinawa Island,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)",Neotermes koshunensis parabasalian symbiont clone Nk5,Nk5,NA,Neotermes koshunensis,NA,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)"
X97975,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Neotermes jouteli parabasalian symbiont clone NJ1,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,223394,Neotermes castaneus,Cuba,NA,"Branke,J.",Unpublished,Trichomonadida sp. NJ1,D14,NA,Neotermes jouteli,NA,NA,"Branke,J.",Unpublished
AB032214,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Devescovina,Devescovina,Cryptotermes domesticus parabasalian symbiont clone Cd3,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60569,Cryptotermes domesticus,Japan: Iriomote Island,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)",Cryptotermes domesticus parabasalian symbiont clone Cd3,Cd3,NA,Cryptotermes domesticus,NA,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)"
FN377764,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Devescovina,Devescovina,Devescovina sp. CbDv02,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,105780,Cryptotermes brevis,Brazil,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press,Devescovina sp. CbDv02,CbDv02,NA,Cryptotermes brevis,NA,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press
FN377765,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Devescovina,Devescovina,Devescovina sp. CdDv09,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,105782,Cryptotermes dudleyi,Kenya,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press,Devescovina sp. CdDv09,CdDv09,NA,Cryptotermes dudleyi,NA,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press
FN377763,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Devescovina,Devescovina,Devescovina sp. CsDv11,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,105785,Cryptotermes secundus,Australia: Darwin,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press,Devescovina sp. CsDv11,CsDv11,NA,Cryptotermes secundus,NA,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press
AB458859,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Devescovina,Devescovina,Devescovina sp. GfDS1,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60575,Glyptotermes fuscus,Japan,Molecular phylogeny of parabasalids with emphasis on the order Cristamonadida and its complex morphological evolution,"Noda,S., Mantini,C., Bordereau,C., Kitade,O., Dolan,M.F., Viscogliosi,E. and Ohkuma,M.",Mol. Phylogenet. Evol. (2009) In press,Devescovina sp. GfDS1,GfDS1,NA,Glyptotermes fuscus,NA,Molecular phylogeny of parabasalids with emphasis on the order Cristamonadida and its complex morphological evolution,"Noda,S., Mantini,C., Bordereau,C., Kitade,O., Dolan,M.F., Viscogliosi,E. and Ohkuma,M.",Mol. Phylogenet. Evol. (2009) In press
AB458858,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Devescovina,Devescovina,Devescovina sp. NkFWS6,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60586,Neotermes koshunensis,Japan,Molecular phylogeny of parabasalids with emphasis on the order Cristamonadida and its complex morphological evolution,"Noda,S., Mantini,C., Bordereau,C., Kitade,O., Dolan,M.F., Viscogliosi,E. and Ohkuma,M.",Mol. Phylogenet. Evol. (2009) In press,Devescovina sp. NkFWS6,NkFWS6,NA,Neotermes koshunensis,NA,Molecular phylogeny of parabasalids with emphasis on the order Cristamonadida and its complex morphological evolution,"Noda,S., Mantini,C., Bordereau,C., Kitade,O., Dolan,M.F., Viscogliosi,E. and Ohkuma,M.",Mol. Phylogenet. Evol. (2009) In press
AB032221,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Devescovina,Devescovina,Devescovina sp. clone Nk2,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60586,Neotermes koshunensis,Japan: Okinawa Island,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)",Neotermes koshunensis parabasalian symbiont clone Nk2,Nk2,NA,Neotermes koshunensis,NA,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)"
AF052696,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Devescovina,Devescovina,Cryptotermes dudleyi parabasalian symbiont 77085,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,105782,Cryptotermes dudleyi,NA,"Phylogenetic diversity of parabasalian symbionts from termites, including the phylogenetic position of Pseudotrypanosoma and Trichonympha","Keeling,P.J., Poulsen,N. and McFadden,G.I.","J. Eukaryot. Microbiol. 45 (6), 643-650 (1998)",Cryptotermes dudleyi symbiont 77085,1,NA,NA,NA,"Phylogenetic diversity of parabasalian symbionts from termites, including the phylogenetic position of Pseudotrypanosoma and Trichonympha","Keeling,P.J., Poulsen,N. and McFadden,G.I.","J. Eukaryot. Microbiol. 45 (6), 643-650 (1998)"
FN377761,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Devescovina,Devescovina,Devescovina arta,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,223394,Neotermes castaneus,Cuba,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press,Devescovina arta,NcDvA25,NA,Neotermes castaneus,NA,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press
FN377759,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Devescovina,Devescovina,Devescovina lepida,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,223394,Neotermes castaneus,Cuba,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press,Devescovina lepida,NcDvL11,NA,Neotermes castaneus,NA,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press
FN377760,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Devescovina,Devescovina,Devescovina lepida,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,223394,Neotermes castaneus,Cuba,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press,Devescovina lepida,NcDvL20,NA,Neotermes castaneus,NA,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press
FN377766,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Devescovina,Devescovina,Devescovina sp. ChDv22,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641612,Cryptotermes havilandi,Ghana,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press,Devescovina sp. ChDv22,ChDv22,NA,Cryptotermes havilandi,NA,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press
FN377762,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Devescovina,Devescovina,Devescovina sp. ClDv14,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641610,Cryptotermes longicollis,Mexico,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press,Devescovina sp. ClDv14,ClDv14,NA,Cryptotermes longicollis,NA,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press
X97974,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Devescovina,Devescovina,Devescovina sp. D16,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,223394,Neotermes castaneus,Cuba,NA,"Branke,J.",Unpublished,Devescovina sp. D16,D16,NA,Neotermes jouteli,NA,NA,"Branke,J.",Unpublished
HQ215839,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Devescovina,Devescovina,Devescovina sp. GHG-2010,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,223394,Neotermes castaneus,USA: Florida,"Molecular and morphological analysis of the family Calonymphidae with a description of Calonympha chia sp. nov., Snyderella kirbyi sp. nov., Snyderella swezyae sp. nov. and Snyderella yamini sp. nov","Gile,G.H., James,E.R., Scheffrahn,R.H., Carpenter,K.J., Harper,J.T. and Keeling,P.J.","Int. J. Syst. Evol. Microbiol. 61 (10), 2547-2558 (2011)",Devescovina sp. GHG-2010,NA,NA,NA,NA,"Molecular and morphological analysis of the family Calonymphidae with a description of Calonympha chia sp. nov., Snyderella kirbyi sp. nov., Snyderella swezyae sp. nov. and Snyderella yamini sp. nov","Gile,G.H., James,E.R., Scheffrahn,R.H., Carpenter,K.J., Harper,J.T. and Keeling,P.J.","Int. J. Syst. Evol. Microbiol. 61 (10), 2547-2558 (2011)"
AM747389,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Devescovina,Devescovina,Devescovina sp. WIO-2007,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,223394,Neotermes castaneus,Cuba,Phylogenetic diversity of Endomicrobia and their specific affiliation with termite gut flagellates,"Ikeda-Ohtsubo,W., Desai,M., Stingl,U. and Brune,A.","Microbiology (Reading, Engl.) 153 (PT 10), 3458-3465 (2007)",Devescovina sp. WIO-2007,NA,NA,NA,NA,Phylogenetic diversity of Endomicrobia and their specific affiliation with termite gut flagellates,"Ikeda-Ohtsubo,W., Desai,M., Stingl,U. and Brune,A.","Microbiology (Reading, Engl.) 153 (PT 10), 3458-3465 (2007)"
DQ855405,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Devescovina,Caduceia,Caduceia versatilis,Caduceia versatilis,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641613,Cryptotermes cavifrons,USA: Florida: Broward County,Molecular phylogenetic position of the genera Stephanonympha and Caduceia (Parabasalia) inferred from nuclear small subunit rRNA gene sequences,"Noel,C., Noda,S., Mantini,C., Dolan,M.F., Moriya,S., Delgado-Viscogliosi,P., Kudo,T., Capron,M., Pierce,R.J., Ohkuma,M. and Viscogliosi,E.","J. Eukaryot. Microbiol. 54 (1), 93-99 (2007)",Caduceia versatilis,NA,NA,Cryptotermes cavifrons,NA,Molecular phylogenetic position of the genera Stephanonympha and Caduceia (Parabasalia) inferred from nuclear small subunit rRNA gene sequences,"Noel,C., Noda,S., Mantini,C., Dolan,M.F., Moriya,S., Delgado-Viscogliosi,P., Kudo,T., Capron,M., Pierce,R.J., Ohkuma,M. and Viscogliosi,E.","J. Eukaryot. Microbiol. 54 (1), 93-99 (2007)"
